Office Name,Pincode,"Delivery/
Non Delivery","Office
Type",Circle,Region,Division,Division ID,Region ID
Belagavi Doordarshan Nagar S.O,590019,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Suvarna Soudha Belagavi S.O,590020,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Bailhongal H.O,591102,Delivery,HO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Balekundri S.O,591103,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Belvadi S.O,591104,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Bidi S.O,591106,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Hindalga S.O,591108,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Hirebagewadi S.O,591109,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Hirekumbi S.O,591110,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Hosur S.O (Belagavi),591111,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Itagi S.O,591112,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Kakati S.O,591113,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Katkol S.O,591114,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Kittur S.O,591115,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Manoli S.O,591117,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
M.K.Hubballi S.O,591118,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Murgod S.O,591119,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Nandgad S.O,591120,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Nesargi S.O,591121,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Ramdurg H.O,591123,Delivery,HO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Sambra S.O,591124,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Sampgaon S.O,591125,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Saundatti S.O,591126,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Sureban S.O,591127,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Uchgaon S.O,591128,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Yargatti S.O,591129,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Salahalli S.O,591130,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Pariswad S.O,591131,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Kadoli S.O,591143,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Deshnur S.O,591147,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
M.K.Hubballi S.F. S.O,591153,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Bhutaramanahatti S.O,591156,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Yallammahill S.O,591173,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Londa S.O,591301,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Khanapur SO Belagavi,591302,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Jamboti S.O,591345,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Hudli,591346,Delivery,PO,Karnataka Circle,North Karnataka Region,Belagavi,21530008,21610002
Kamthana S.O,585226,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Mannakhelli S.O,585227,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Aurad (B) S.O,585326,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Basavakalyan S.O,585327,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Bhalki S.O,585328,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Hoodgi S.O,585329,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Humnabad S.O,585330,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Rajeshwar S.O,585331,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Maniknagar S.O,585353,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Bidar H.O,585401,Delivery,HO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Bidar G.N.Jhira S.O,585402,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Bidar Gandhi Gunj S.O,585403,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Naubad SO,585404,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Bhatambra S.O,585411,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Chitguppa S.O,585412,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Halbarga S.O,585413,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Hallikhed (B) S.O,585414,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Hallikhed SF S.O,585415,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Hulsoor S.O,585416,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Kamalnagar S.O,585417,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Dubalgundi S.O,585418,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Matala S.O,585419,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Santhpur S.O,585421,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Thanna Kushnoor S.O,585436,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Mudbi S.O,585437,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Mudhol (B) S.O,585443,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Nittur S.O,585444,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
KOHINOOR SO,585445,Delivery,PO,Karnataka Circle,North Karnataka Region,Bidar,21530009,21610002
Chikodi H.O,591201,Delivery,HO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Akol S.O,591211,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Anantpur S.O,591212,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Ankali S.O,591213,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Bedkihal S.O,591214,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Benadi S.O,591215,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Borgaon S.O (Belagavi),591216,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Chinchali S.O,591217,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Galataga S.O,591219,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Harugeri S.O,591220,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Kabbur S.O,591222,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Kagvad S.O,591223,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Karoshi S.O,591226,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Khadaklat S.O,591228,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Kognoli S.O,591229,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Kokatnur S.O,591230,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Madbhavi S.O,591232,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Mangsuli S.O,591234,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Mugalkhod S.O,591235,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Nipani S.O,591237,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Pattankudi S.O,591238,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Sadalga S.O,591239,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Satti S.O,591240,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Saundalga S.O,591241,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Shirguppi S.O,591242,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Yaksamba S.O,591244,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Chikodi Sugar Factory S.O,591247,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Aigali S.O,591248,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Bhoj S.O,591263,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Telsang S.O,591265,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Kothali S.O,591287,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Ainapur S.O,591303,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Athani H.O,591304,Delivery,HO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Kudchi S.O,591311,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Shedbal S.O,591315,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Ugarkhurd S.O,591316,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Raibag S.O,591317,Delivery,PO,Karnataka Circle,North Karnataka Region,Chikodi,21530010,21610002
Dharwad H.O,580001,Delivery,HO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Dharwad Saraswatpur S.O,580002,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Dharwad K V V S.O,580003,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Dharwad Vidyagiri S.O,580004,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Dharwad U A S S.O,580005,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Dharwad M J Nagar S.O,580006,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Dharwad R S S.O,580007,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Dharwad K.C.Park S.O,580008,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Dharwad Sattur S.O,580009,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Dharwad High Court S.O,580011,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Hubballi H.O,580020,Delivery,HO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Hubballi Vidyanagar S.O,580021,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Hubballi Keshwapur S.O,580023,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Old Hubballi S.O,580024,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Hubballi Navanagar S.O,580025,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Hubballi Tarihal Indl. Estate S.O,580026,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Gokul S.O,580027,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Hubballi Mv Galli S.O,580028,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Hubballii Traffic Island S.O,580029,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Hubballi Udyamnagar S.O,580030,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Hubballi Eng College S.O,580031,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Hubballi Vijayanagar S.O,580032,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Morab S.O,580112,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Dhumwad S.O,580114,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Hulkoppa S.O,580118,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Alnavar S.O,581103,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Garag S.O,581105,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Gudgeri S.O,581107,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Kundgol S.O,581113,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Saunshi S.O,581117,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Koliwad S.O,581195,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Mishrikoti S.O,581196,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Amminabhavi S.O,581201,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Kalghatagi S.O,581204,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Uppinabetageri S.O,581206,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Aralikatti S.O,581207,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Hebsur S.O,581209,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Annigeri S.O,582201,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Navalgund S.O,582208,Delivery,PO,Karnataka Circle,North Karnataka Region,Dharwad,21530011,21610002
Gadag H.O,582101,Delivery,HO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Gadag Betgeri S.O,582102,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Gadag City S.O,582103,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Abbigeri S.O,582111,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Bellatti S.O,582112,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Dambal S.O,582113,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Gajendragad S.O,582114,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Lakkundi S.O,582115,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Lakshmeshwar S.O,582116,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Mulgund S.O,582117,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Mundargi S.O,582118,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Naregal S.O,582119,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Shiratti S.O,582120,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Belvanki S.O,582202,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Holealur S.O,582203,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Hombal S.O,582204,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Hulkoti S.O,582205,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Konnur S.O (Gadag),582206,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Nargund S.O,582207,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Ron S.O,582209,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Shigli S.O,582210,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Sudi S.O,582211,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Alawandi S.O,583226,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Gangavathi S.O,583227,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Ginigera S.O,583228,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Karatgi S.O,583229,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Kinhal S.O,583230,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Koppal H.O,583231,Delivery,HO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Kuknoor S.O,583232,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Munirabad S.O,583233,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Munirabad RS S.O,583234,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Mukkumpi BO,583235,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Yelburga S.O,583236,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Bewoor S.O,583237,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Bhagyanagar S.O (Koppal),583238,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Pragathinagar S.O,583268,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Kushtagi S.O,583277,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Dotihal S.O,583278,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Tavargera S.O,583279,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Hanumanhal S.O,583280,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Hanamsagar S.O,583281,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Sriramnagar S.O (Koppal),583282,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Kanakgiri S.O,583283,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Mudhol S.O,583284,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Hiresindogi S.O,583285,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Irkalgad S.O,583287,Delivery,PO,Karnataka Circle,North Karnataka Region,Gadag,21530012,21610002
Ankalgi S.O,591101,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Hidkal Dam S.O,591107,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Pachhapur S.O,591122,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Yadwad S.O,591136,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Lolsur S.O,591218,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Hebbal S.O,591221,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Kalloli S.O,591224,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Kanagala S.O (Belagavi),591225,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Kaujalgi S.O,591227,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Konnur S.O (Belagavi),591231,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Mamadapur S.O,591233,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Nidasoshi S.O,591236,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Thana Hattargi S.O,591243,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Yamakanmardi S.O,591246,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Daddi S.O,591254,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Bellad Bagewadi S.O,591305,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Ghataprabha RS S.O,591306,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Gokak H.O,591307,Delivery,HO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Gokak Falls S.O,591308,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Hukeri S.O,591309,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Kulgod S.O,591310,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Mudalgi S.O,591312,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Sankeshwar S.O,591313,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Sankeshwar Sugar Factory S.O,591314,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Nerli S.O,591340,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Khangaon S.O,591344,Delivery,PO,Karnataka Circle,North Karnataka Region,Gokak,21530013,21610002
Adur S.O (Haveri),581101,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Akkialur S.O,581102,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Hangal S.O,581104,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Byadgi S.O,581106,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Guttal S.O,581108,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Haunsabhavi S.O,581109,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Haveri H.O,581110,Delivery,HO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Hirekerur S.O,581111,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Karajagi S.O (Haveri),581112,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Ranebennur S.O,581115,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Rattihalli S.O,581116,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Savanur S.O,581118,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Tumminakatti S.O,581119,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Tilavalli S.O,581120,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Kumarapattanam S.O,581123,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Hulgur S.O,581126,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Agadi S.O,581128,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Chalageri S.O,581145,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Sangur S.O,581148,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Dhundashi S.O,581193,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Motebennur S.O,581198,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Belagalapete S.O.,581199,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Bankapur S.O,581202,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Bommanahalli S.O (Haveri),581203,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Shiggaon S.O,581205,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Halageri S.O,581208,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Masur S.O (Haveri),581210,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Medleri S.O,581211,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Tadas S.O,581212,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Hosaritti S.O,581213,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Kadkol S.O,581237,Delivery,PO,Karnataka Circle,North Karnataka Region,Haveri,21530014,21610002
Kalaburagi H.O,585101,Delivery,HO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
GB RS S.O,585102,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
GB Bahamanipura S.O,585103,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
GB N Gunj S.O,585104,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
GB Ggh S.O,585105,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
GB Jnanaganga S.O,585106,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Kalaburagi HCB S.O,585107,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Yadgiri H.O,585201,Delivery,HO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Yadgiri Station S.O,585202,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Kurkunta C.F S.O,585210,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Chittapur S.O,585211,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Ghanagapur T S.O,585212,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Station Ghanagapur S.O,585213,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Gurmitkal S.O,585214,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Hunasgi S.O,585215,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Kembhavi S.O,585216,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
Mashal S.O,585217,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Nalwar S.O,585218,Delivery,PO,Karnataka Circle,North Karnataka Region,Kalaburagi,21530015,21610002
Narayanpur S.O (Yadgir),585219,Delivery,PO,Karnataka Circle,North Karnataka Region,Yadagiri,21530021,21610002
